project_id,project_list_answer_num,category,sub_category,industry,industry_id,status,start_date,deadline,created_at,updated_at,duration_hours,entry_count,creative_count,average_score,client_feedback,watchers_count,total_awards,award_log,total_package_tips,tips_log,featured,assured,private_gallery,search_exclusion,nda_required,package_name,entry_type,is_one_to_one,is_legacy
1044773,0,7,23,unknown,0,completed,2009-05-05T17:46:00+00:00,2009-05-22T17:46:00+00:00,2009-05-05T17:56:16+00:00,2018-11-27T22:51:37.414135+00:00,408.0,147,46,0.7,92.51700680272108,7,435.0,6.077642243349034,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1047045,0,7,24,unknown,0,completed,2009-05-06T00:35:25+00:00,2009-05-13T00:35:25+00:00,2009-05-06T00:36:35+00:00,2018-11-27T22:51:37.352506+00:00,168.0,26,7,1.4,92.3076923076923,0,350.0,5.860786223465865,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1047422,0,7,24,unknown,0,completed,2009-05-06T00:54:00+00:00,2009-05-16T00:54:00+00:00,2009-05-06T00:59:14+00:00,2018-11-27T22:51:37.343506+00:00,240.0,45,18,1.4,100.0,3,300.0,5.707110264748875,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1047782,0,10,37,unknown,0,completed,2009-05-06T02:37:33+00:00,2009-05-21T02:37:33+00:00,2009-05-06T02:40:49+00:00,2018-11-27T22:51:37.325292+00:00,360.0,14,5,0.0,100.0,0,1000.0,6.90875477931522,0.0,0.0,0,0,0,0,0,Pro (Legacy),image,0,1
1112753,0,7,24,unknown,0,completed,2009-05-19T04:31:00+00:00,2009-05-30T04:31:00+00:00,2009-05-19T04:32:32+00:00,2018-11-27T22:51:36.091222+00:00,264.0,58,16,0.7,87.93103448275862,4,450.0,6.111467339502679,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1113113,0,7,23,unknown,0,completed,2009-05-19T09:55:58+00:00,2009-05-22T09:55:58+00:00,2009-05-19T10:05:47+00:00,2018-11-27T22:51:36.074582+00:00,72.0,51,28,0.4,100.0,3,200.0,5.303304908059076,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1178329,0,7,23,unknown,0,completed,2009-05-31T02:55:00+00:00,2009-06-11T02:55:00+00:00,2009-05-31T02:59:56+00:00,2018-11-27T22:51:34.883316+00:00,264.0,124,25,0.9,91.93548387096774,2,250.0,5.5254529391317835,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1243664,0,7,23,unknown,0,completed,2009-06-15T15:39:07+00:00,2009-06-21T15:39:07+00:00,2009-06-15T15:44:16+00:00,2018-11-27T23:00:39.646664+00:00,144.0,106,42,0.1,94.33962264150944,5,300.0,5.707110264748875,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1243890,0,7,23,unknown,0,completed,2009-06-15T16:22:00+00:00,2009-06-25T16:22:00+00:00,2009-06-15T16:23:41+00:00,2018-11-27T23:00:39.629500+00:00,240.0,117,38,1.5,100.0,8,250.0,5.5254529391317835,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1244005,0,7,23,unknown,0,completed,2009-06-15T16:59:32+00:00,2009-06-29T16:59:32+00:00,2009-06-15T17:03:39+00:00,2018-11-27T23:00:39.612212+00:00,336.0,107,44,0.4,98.13084112149532,9,300.0,5.707110264748875,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1244243,0,7,23,unknown,0,completed,2009-06-15T18:11:00+00:00,2009-06-29T18:11:00+00:00,2009-06-15T18:15:15+00:00,2018-11-27T23:00:39.585451+00:00,336.0,168,52,1.7,100.0,6,750.0,6.621405651764134,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1244338,0,7,23,unknown,0,completed,2009-06-15T17:59:28+00:00,2009-06-22T17:59:28+00:00,2009-06-15T18:02:15+00:00,2018-11-27T23:00:39.594264+00:00,168.0,126,47,2.8,98.4126984126984,14,400.0,5.993961427306569,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1245164,0,7,23,unknown,0,completed,2009-06-15T20:38:09+00:00,2009-06-26T20:38:09+00:00,2009-06-15T20:41:12+00:00,2018-11-27T23:00:39.547026+00:00,264.0,52,17,0.5,92.3076923076923,3,250.0,5.5254529391317835,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1286261,0,7,23,unknown,0,completed,2009-06-23T07:11:07+00:00,2009-06-30T07:11:07+00:00,2009-06-23T07:16:25+00:00,2018-11-27T23:00:39.342691+00:00,168.0,71,34,1.7,98.59154929577466,5,350.0,5.860786223465865,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1301649,0,7,23,unknown,0,completed,2009-06-25T19:15:11+00:00,2009-07-09T19:15:11+00:00,2009-06-25T19:28:42+00:00,2018-11-27T23:15:25.641076+00:00,336.0,116,49,1.2,100.0,7,300.0,5.707110264748875,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1308920,0,17,66,unknown,0,completed,2009-06-26T21:17:00+00:00,2009-07-10T21:17:00+00:00,2009-06-26T21:19:29+00:00,2018-11-27T22:57:55.483953+00:00,336.0,1,1,4.0,100.0,25,1000.0,6.90875477931522,0.0,0.0,0,0,0,0,0,Standard (Legacy),other,0,1
1336422,0,10,42,unknown,0,completed,2009-07-02T04:17:35+00:00,2009-07-05T04:17:35+00:00,2009-07-02T04:24:51+00:00,2018-11-27T22:51:31.754602+00:00,72.0,28,7,0.3,100.0,1,350.0,5.860786223465865,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1359573,0,7,23,unknown,0,completed,2009-07-07T00:49:06+00:00,2009-07-12T00:49:06+00:00,2009-07-07T00:53:11+00:00,2018-11-27T22:57:55.248292+00:00,120.0,77,30,1.4,100.0,2,300.0,5.707110264748875,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1374391,0,12,41,unknown,0,completed,2009-07-09T04:33:56+00:00,2009-07-16T04:33:56+00:00,2009-07-09T04:36:28+00:00,2018-11-27T22:57:54.873290+00:00,168.0,123,35,0.3,99.1869918699187,9,400.0,5.993961427306569,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1375194,0,10,32,unknown,0,completed,2009-07-09T07:30:35+00:00,2009-07-19T07:30:35+00:00,2009-07-09T07:38:17+00:00,2018-11-27T22:57:54.856721+00:00,240.0,32,8,0.2,100.0,0,2000.0,7.601402334583733,0.0,0.0,0,0,0,0,0,Pro (Legacy),image,0,1
1426738,0,7,23,unknown,0,completed,2009-07-18T16:56:14+00:00,2009-07-25T16:56:14+00:00,2009-07-18T16:57:51+00:00,2018-11-27T22:51:30.022609+00:00,168.0,116,39,1.5,99.13793103448276,2,300.0,5.707110264748875,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1441647,0,7,23,unknown,0,completed,2009-07-21T10:35:00+00:00,2009-08-13T10:35:00+00:00,2009-07-21T10:37:45+00:00,2018-11-27T23:16:33.730588+00:00,552.0,224,51,1.8,99.55357142857143,8,450.0,6.111467339502679,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1505617,0,7,23,unknown,0,completed,2009-07-31T17:59:39+00:00,2009-08-14T17:59:39+00:00,2009-07-31T18:13:20+00:00,2018-11-27T22:57:53.865968+00:00,336.0,246,71,1.3,100.0,15,325.0,5.786897381366708,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1505841,0,7,24,unknown,0,completed,2009-07-31T18:19:44+00:00,2009-08-07T18:19:44+00:00,2009-07-31T18:43:22+00:00,2018-11-27T22:57:53.840016+00:00,168.0,124,28,1.4,100.0,1,405.0,6.0063531596017325,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1506942,0,10,37,unknown,0,completed,2009-07-31T21:32:00+00:00,2009-08-13T21:32:00+00:00,2009-07-31T21:46:45+00:00,2018-11-27T22:57:53.812597+00:00,312.0,60,17,1.1,100.0,0,1500.0,7.313886831633462,0.0,0.0,0,0,0,0,0,Pro (Legacy),image,0,1
1569439,0,7,23,unknown,0,completed,2009-08-11T17:53:29+00:00,2009-08-18T17:53:29+00:00,2009-08-11T17:55:00+00:00,2018-11-27T22:51:27.623731+00:00,168.0,642,165,0.5,99.84423676012462,23,1000.0,6.90875477931522,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1571560,0,7,23,unknown,0,completed,2009-08-11T22:42:06+00:00,2009-08-18T22:42:06+00:00,2009-08-11T22:44:58+00:00,2018-11-27T22:51:27.527781+00:00,168.0,70,16,1.8,100.0,1,250.0,5.5254529391317835,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1603593,0,7,24,unknown,0,completed,2009-08-17T17:34:51+00:00,2009-08-23T17:34:51+00:00,2009-08-17T17:35:40+00:00,2018-11-27T22:57:53.027018+00:00,144.0,107,31,1.0,100.0,0,465.0,6.144185634125646,0.0,0.0,0,0,0,1,0,Standard (Legacy),image,0,1
1604545,0,7,23,unknown,0,completed,2009-08-17T19:42:07+00:00,2009-08-24T19:42:07+00:00,2009-08-17T19:42:36+00:00,2018-11-27T22:57:52.983437+00:00,168.0,62,20,1.1,100.0,5,500.0,6.2166061010848646,0.0,0.0,0,0,0,1,0,Standard (Legacy),image,0,1
1681029,0,7,23,unknown,0,completed,2009-08-30T21:46:46+00:00,2009-09-04T21:46:47+00:00,2009-08-30T21:48:21+00:00,2018-11-27T22:51:25.650997+00:00,120.00027777777778,181,69,0.0,100.0,14,700.0,6.55250788703459,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1683867,0,10,37,unknown,0,completed,2009-08-31T13:32:07+00:00,2009-09-14T13:32:07+00:00,2009-08-31T13:34:04+00:00,2018-11-27T22:51:25.576584+00:00,336.0,21,5,3.5,100.0,3,600.0,6.398594934535208,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1695671,0,10,34,unknown,0,completed,2009-09-02T09:28:00+00:00,2009-09-09T09:28:00+00:00,2009-09-02T09:29:08+00:00,2018-11-27T22:51:25.263049+00:00,168.0,35,11,0.3,100.0,5,500.0,6.2166061010848646,0.0,0.0,0,0,0,1,0,Standard (Legacy),image,0,1
1702907,0,10,31,unknown,0,completed,2009-09-03T15:56:44+00:00,2009-09-10T15:56:44+00:00,2009-09-03T16:00:42+00:00,2018-11-27T22:51:25.067662+00:00,168.0,22,11,1.8,100.0,3,250.0,5.5254529391317835,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1767662,0,7,23,unknown,0,completed,2009-09-15T14:42:26+00:00,2009-09-29T14:42:26+00:00,2009-09-15T14:45:04+00:00,2018-11-27T22:51:24.051305+00:00,336.0,116,39,0.8,99.13793103448276,4,350.0,5.860786223465865,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1767735,0,7,24,unknown,0,completed,2009-09-15T14:53:00+00:00,2009-10-04T04:00:00+00:00,2009-09-15T14:58:21+00:00,2018-11-27T22:51:24.042775+00:00,445.1166666666667,490,79,2.0,99.79591836734694,9,600.0,6.398594934535208,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1767917,0,7,23,unknown,0,completed,2009-09-15T15:26:59+00:00,2009-09-18T15:26:59+00:00,2009-09-15T15:28:42+00:00,2018-11-27T22:51:24.034376+00:00,72.0,62,25,0.0,100.0,4,200.0,5.303304908059076,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1768335,0,7,23,unknown,0,completed,2009-09-15T16:53:00+00:00,2009-09-29T16:53:00+00:00,2009-09-15T17:05:29+00:00,2018-11-27T22:51:24.008878+00:00,336.0,60,17,1.6,100.0,3,350.0,5.860786223465865,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1834466,0,7,24,unknown,0,completed,2009-09-28T20:49:00+00:00,2009-10-08T20:49:00+00:00,2009-09-28T20:53:30+00:00,2018-11-27T22:51:22.411812+00:00,240.0,53,17,2.8,100.0,1,450.0,6.111467339502679,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1834867,0,10,42,unknown,0,completed,2009-09-27T21:08:00+00:00,2009-10-12T22:00:00+00:00,2009-09-28T17:29:09+00:00,2018-11-27T22:51:22.447322+00:00,360.8666666666667,26,12,2.6,100.0,9,500.0,6.2166061010848646,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1839509,0,7,24,unknown,0,completed,2009-09-29T08:33:56+00:00,2009-10-13T08:33:56+00:00,2009-09-29T08:52:46+00:00,2018-11-27T22:51:22.292921+00:00,336.0,97,27,1.2,100.0,3,450.0,6.111467339502679,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1856281,0,7,23,unknown,0,completed,2009-10-01T21:44:46+00:00,2009-10-08T21:44:46+00:00,2009-10-01T21:45:32+00:00,2018-11-27T23:15:24.476525+00:00,168.0,51,21,0.0,100.0,3,200.0,5.303304908059076,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1890065,0,7,24,unknown,0,completed,2009-10-07T23:39:00+00:00,2009-11-06T23:39:00+00:00,2009-10-07T23:40:55+00:00,2019-01-16T21:59:13.771988+00:00,720.0,189,63,1.0,99.47089947089947,0,1000.0,6.90875477931522,0.0,0.0,0,0,0,1,0,Pro (Legacy),image,0,1
1896435,0,7,23,unknown,0,completed,2009-10-08T21:57:06+00:00,2009-10-15T21:57:06+00:00,2009-10-08T22:01:26+00:00,2018-11-27T22:51:21.088777+00:00,168.0,94,34,0.4,100.0,2,200.0,5.303304908059076,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1899086,0,2,2,unknown,0,completed,2009-10-09T10:57:00+00:00,2009-10-19T10:57:00+00:00,2009-10-09T11:00:36+00:00,2018-11-27T22:51:20.978546+00:00,240.0,126,23,2.9,100.0,5,250.0,5.5254529391317835,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1899957,0,7,23,unknown,0,completed,2009-10-09T14:07:20+00:00,2009-10-23T14:07:20+00:00,2009-10-09T14:10:19+00:00,2018-11-27T22:51:20.969139+00:00,336.0,68,32,1.6,100.0,7,425.0,6.054439346269371,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1917594,0,7,23,unknown,0,completed,2009-10-12T18:24:56+00:00,2009-10-19T18:24:56+00:00,2009-10-12T18:25:44+00:00,2018-11-27T22:57:50.039924+00:00,168.0,122,54,0.4,100.0,6,465.0,6.144185634125646,0.0,0.0,0,0,0,1,0,Standard (Legacy),image,0,1
1927401,0,2,2,unknown,0,completed,2009-10-13T23:34:28+00:00,2009-10-20T23:34:28+00:00,2009-10-13T23:41:03+00:00,2018-11-27T22:57:49.791350+00:00,168.0,7,4,0.3,85.71428571428571,8,575.0,6.3561076606958915,0.0,0.0,0,0,0,0,0,Standard (Legacy),image,0,1
1928137,0,7,23,unknown,0,completed,2009-10-14T01:26:38+00:00,2009-10-29T01:26:38+00:00,2009-10-14T01:28:20+00:00,2018-11-27T23:15:24.361462+00:00,360.0,333,116,0.1,99.69969969969969,0,1250.0,7.1316985104669115,0.0,0.0,0,0,0,0,0,Pro (Legacy),image,0,1
