worker_id,worker_quality,quality_unknown,raw_worker_quality
7845,0.0,1,-1.0
7847,0.0,1,-1.0
7851,0.0,1,-1.0
7867,0.0,1,-1.0
7945,0.88,0,88.0
7949,0.0,1,-1.0
8011,0.0,1,-1.0
8039,0.0,1,-1.0
8056,0.0,1,-1.0
8060,0.0,1,-1.0
8064,0.0,1,-1.0
8066,0.0,1,-1.0
8082,0.0,1,-1.0
8089,0.0,1,-1.0
8097,0.0,1,-1.0
8099,0.0,1,-1.0
8102,0.92,0,92.0
8103,0.0,1,-1.0
8104,0.0,1,-1.0
8108,0.0,1,-1.0
8109,0.0,1,-1.0
8111,0.0,1,-1.0
8112,0.0,1,-1.0
8116,0.82,0,82.0
8121,0.84,0,84.0
8131,0.0,1,-1.0
8133,0.0,1,-1.0
8134,0.0,1,-1.0
8143,0.0,1,-1.0
8146,0.0,1,-1.0
8148,0.83,0,83.0
8153,0.0,1,-1.0
13005,0.0,1,-1.0
14233,0.0,1,-1.0
14339,0.0,1,-1.0
14737,0.0,1,-1.0
14778,0.0,1,-1.0
15108,0.0,1,-1.0
15173,0.0,1,-1.0
15180,0.0,1,-1.0
15204,0.0,1,-1.0
15218,0.0,1,-1.0
15545,0.0,1,-1.0
15640,0.0,1,-1.0
15690,0.0,1,-1.0
15829,0.0,1,-1.0
15866,0.91,0,91.0
16609,0.0,1,-1.0
16643,0.0,1,-1.0
16682,0.0,1,-1.0
16955,0.0,1,-1.0
16961,0.0,1,-1.0
17065,0.0,1,-1.0
17198,0.0,1,-1.0
17326,0.0,1,-1.0
17738,0.0,1,-1.0
17837,0.0,1,-1.0
17904,0.0,1,-1.0
17991,0.0,1,-1.0
18076,0.0,1,-1.0
18077,0.0,1,-1.0
18134,0.0,1,-1.0
18293,0.0,1,-1.0
18439,0.0,1,-1.0
18731,0.0,1,-1.0
19220,0.0,1,-1.0
19298,0.0,1,-1.0
19384,0.0,1,-1.0
19471,0.0,1,-1.0
19472,0.0,1,-1.0
19516,0.0,1,-1.0
19751,0.0,1,-1.0
19883,0.0,1,-1.0
20003,0.0,1,-1.0
20055,0.0,1,-1.0
20184,0.0,1,-1.0
20303,0.0,1,-1.0
20361,0.98,0,98.0
20374,0.0,1,-1.0
20382,0.0,1,-1.0
20418,0.0,1,-1.0
20496,0.0,1,-1.0
20747,0.0,1,-1.0
20990,0.0,1,-1.0
21250,0.0,1,-1.0
21283,0.0,1,-1.0
21299,0.0,1,-1.0
21518,0.0,1,-1.0
21587,0.0,1,-1.0
21678,0.0,1,-1.0
21765,0.0,1,-1.0
21788,0.0,1,-1.0
22025,0.0,1,-1.0
22030,0.0,1,-1.0
22067,0.83,0,83.0
22084,0.0,1,-1.0
22204,0.0,1,-1.0
22276,0.0,1,-1.0
22317,0.0,1,-1.0
22340,0.0,1,-1.0
22389,0.0,1,-1.0
22626,0.0,1,-1.0
22846,0.0,1,-1.0
22944,0.0,1,-1.0
23302,0.0,1,-1.0
23535,0.0,1,-1.0
23958,0.0,1,-1.0
24017,0.88,0,88.0
24024,0.0,1,-1.0
24835,0.0,1,-1.0
25097,0.0,1,-1.0
25098,0.0,1,-1.0
25264,0.0,1,-1.0
25298,0.0,1,-1.0
25851,0.0,1,-1.0
26080,0.0,1,-1.0
26755,0.0,1,-1.0
28106,0.0,1,-1.0
32781,0.0,1,-1.0
32907,0.0,1,-1.0
32972,0.0,1,-1.0
33524,0.0,1,-1.0
33533,0.0,1,-1.0
33584,0.0,1,-1.0
34438,0.0,1,-1.0
34510,0.0,1,-1.0
34798,0.0,1,-1.0
35567,0.0,1,-1.0
36098,0.0,1,-1.0
36280,0.85,0,85.0
36343,0.0,1,-1.0
36373,0.0,1,-1.0
36754,0.0,1,-1.0
36861,0.0,1,-1.0
37030,0.0,1,-1.0
37333,0.0,1,-1.0
37594,0.0,1,-1.0
37613,0.0,1,-1.0
37804,0.0,1,-1.0
37834,0.0,1,-1.0
37896,0.0,1,-1.0
37971,0.0,1,-1.0
38124,0.0,1,-1.0
38200,0.0,1,-1.0
38251,0.0,1,-1.0
38437,0.0,1,-1.0
39651,0.0,1,-1.0
40004,0.0,1,-1.0
40066,0.0,1,-1.0
40323,0.0,1,-1.0
40354,0.0,1,-1.0
40584,0.0,1,-1.0
41101,0.0,1,-1.0
41187,0.0,1,-1.0
41665,0.0,1,-1.0
42199,0.0,1,-1.0
42446,0.0,1,-1.0
42514,0.0,1,-1.0
43164,0.0,1,-1.0
43446,0.0,1,-1.0
45166,0.0,1,-1.0
45726,0.0,1,-1.0
45998,0.0,1,-1.0
46024,0.0,1,-1.0
46041,0.0,1,-1.0
46066,0.0,1,-1.0
46356,0.0,1,-1.0
46629,0.0,1,-1.0
46722,0.0,1,-1.0
46733,0.0,1,-1.0
46813,0.0,1,-1.0
47301,0.0,1,-1.0
47655,0.0,1,-1.0
48036,0.0,1,-1.0
48108,0.0,1,-1.0
48971,0.0,1,-1.0
49013,0.0,1,-1.0
49377,0.0,1,-1.0
49426,0.0,1,-1.0
49580,0.0,1,-1.0
50188,0.0,1,-1.0
50396,0.0,1,-1.0
51423,0.0,1,-1.0
51808,0.0,1,-1.0
51813,0.0,1,-1.0
51978,0.9,0,90.0
52042,0.0,1,-1.0
52267,0.0,1,-1.0
52718,0.0,1,-1.0
52961,0.0,1,-1.0
53007,0.0,1,-1.0
53527,0.0,1,-1.0
53713,0.77,0,77.0
54414,0.0,1,-1.0
54828,0.0,1,-1.0
54898,0.0,1,-1.0
55783,0.0,1,-1.0
55867,0.0,1,-1.0
56125,0.0,1,-1.0
56921,0.0,1,-1.0
57103,0.0,1,-1.0
57667,0.0,1,-1.0
58915,0.0,1,-1.0
60902,0.0,1,-1.0
62168,0.0,1,-1.0
62182,0.81,0,81.0
62198,0.78,0,78.0
63192,0.0,1,-1.0
63528,0.0,1,-1.0
63565,0.0,1,-1.0
63590,0.0,1,-1.0
64660,0.0,1,-1.0
65316,0.0,1,-1.0
65524,0.0,1,-1.0
66468,0.0,1,-1.0
66540,0.0,1,-1.0
66697,0.0,1,-1.0
66911,0.0,1,-1.0
66939,0.0,1,-1.0
68034,0.0,1,-1.0
69381,0.0,1,-1.0
69893,0.0,1,-1.0
70242,0.0,1,-1.0
70410,0.0,1,-1.0
70788,0.0,1,-1.0
71681,0.0,1,-1.0
71786,0.0,1,-1.0
72022,0.0,1,-1.0
73167,0.0,1,-1.0
73402,0.0,1,-1.0
73462,0.0,1,-1.0
78165,0.0,1,-1.0
79419,0.0,1,-1.0
82737,0.0,1,-1.0
82755,0.0,1,-1.0
83227,0.0,1,-1.0
83394,0.0,1,-1.0
84184,0.0,1,-1.0
85747,0.0,1,-1.0
85835,0.0,1,-1.0
85927,0.0,1,-1.0
86395,0.0,1,-1.0
86720,0.0,1,-1.0
87174,0.0,1,-1.0
87604,0.0,1,-1.0
88291,0.0,1,-1.0
88621,0.0,1,-1.0
89149,0.0,1,-1.0
89233,0.0,1,-1.0
89247,0.0,1,-1.0
89271,0.0,1,-1.0
90114,0.0,1,-1.0
90129,0.0,1,-1.0
90313,0.0,1,-1.0
90515,0.0,1,-1.0
90763,0.0,1,-1.0
90921,0.0,1,-1.0
90987,0.0,1,-1.0
91518,0.0,1,-1.0
91567,0.0,1,-1.0
91775,0.0,1,-1.0
91856,0.0,1,-1.0
92208,0.0,1,-1.0
92553,0.0,1,-1.0
93288,0.0,1,-1.0
